error_family,policy_id,optimizer_family,checkpoint,crossing_fraction_descriptive,mean_margin
diffuse_low_error,top_spike:alpha=0.75,top_spike,131072,0.0,-0.093553674589158
diffuse_low_error,top_spike:alpha=0.75,top_spike,262144,0.0,-0.034889755148159785
diffuse_low_error,top_spike:alpha=0.75,top_spike,524288,1.0,0.012271807478793887
diffuse_low_error,top_spike:alpha=0.75,top_spike,1048576,1.0,0.04971985086804685
diffuse_low_error,top_spike:alpha=1,top_spike,32,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,64,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,128,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,256,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,512,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,1024,0.0,-1.401621685881432
diffuse_low_error,top_spike:alpha=1,top_spike,2048,0.0,-1.1061484204262906
diffuse_low_error,top_spike:alpha=1,top_spike,4096,0.0,-0.8589863623799014
diffuse_low_error,top_spike:alpha=1,top_spike,8192,0.0,-0.6526613748961771
diffuse_low_error,top_spike:alpha=1,top_spike,16384,0.0,-0.48092329265568873
diffuse_low_error,top_spike:alpha=1,top_spike,32768,0.0,-0.3385027483244525
diffuse_low_error,top_spike:alpha=1,top_spike,65536,0.0,-0.22100854641157086
diffuse_low_error,top_spike:alpha=1,top_spike,131072,0.0,-0.12473823278554397
diffuse_low_error,top_spike:alpha=1,top_spike,262144,0.0,-0.046519673530879664
diffuse_low_error,top_spike:alpha=1,top_spike,524288,1.0,0.01636240997172524
diffuse_low_error,top_spike:alpha=1,top_spike,1048576,1.0,0.0662931344907292
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,32,0.0,-0.12245251576699367
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,64,0.0,-0.09963483544449103
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,128,0.0,-0.07904849909982804
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,256,0.0,-0.05424752492482553
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,512,0.0,-0.0366623982927239
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,1024,0.0,-0.02424448150937207
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,2048,0.0,-0.015462334083145204
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,4096,0.0,-0.009255561310378592
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,8192,0.0,-0.004866942044118907
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,16384,0.0,-0.0017648298067504124
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,32768,1.0,0.0004320181825472015
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,65536,1.0,0.001986010331873256
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,131072,1.0,0.003083849943882467
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,262144,1.0,0.004019476713253518
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,524288,1.0,0.00603990507733225
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,1048576,1.0,0.0076442007119229514
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,32,0.0,-0.1188213494358091
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,64,0.0,-0.09316288413689869
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,128,0.0,-0.07160534081970601
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,256,0.0,-0.053502776626859344
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,512,0.0,-0.03510917575080079
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,1024,0.0,-0.018424902943068117
