error_family,policy_id,optimizer_family,checkpoint,empirical_bernstein_crossing_fraction_descriptive,mean_margin
diffuse_low_error,top_spike:alpha=0.25,top_spike,131072,1.0,0.05158202536408048
diffuse_low_error,top_spike:alpha=0.25,top_spike,262144,1.0,0.053398623124887835
diffuse_low_error,top_spike:alpha=0.25,top_spike,524288,1.0,0.05434425321292788
diffuse_low_error,top_spike:alpha=0.25,top_spike,1048576,1.0,0.05483462532694189
diffuse_low_error,top_spike:alpha=0.5,top_spike,32,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,64,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,128,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,256,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,512,0.0,-0.48258070079202875
diffuse_low_error,top_spike:alpha=0.5,top_spike,1024,0.0,-0.2775814066329999
diffuse_low_error,top_spike:alpha=0.5,top_spike,2048,0.0,-0.13627699340426103
diffuse_low_error,top_spike:alpha=0.5,top_spike,4096,0.0,-0.040804535133713224
diffuse_low_error,top_spike:alpha=0.5,top_spike,8192,1.0,0.02160243111716386
diffuse_low_error,top_spike:alpha=0.5,top_spike,16384,1.0,0.0604916111178357
diffuse_low_error,top_spike:alpha=0.5,top_spike,32768,1.0,0.0834229197296458
diffuse_low_error,top_spike:alpha=0.5,top_spike,65536,1.0,0.09625649483122671
diffuse_low_error,top_spike:alpha=0.5,top_spike,131072,1.0,0.10316405072816096
diffuse_low_error,top_spike:alpha=0.5,top_spike,262144,1.0,0.10679724624977567
diffuse_low_error,top_spike:alpha=0.5,top_spike,524288,1.0,0.10868850642585576
diffuse_low_error,top_spike:alpha=0.5,top_spike,1048576,1.0,0.10966925065388378
diffuse_low_error,top_spike:alpha=0.75,top_spike,32,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,64,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,128,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,256,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,512,0.0,-0.7238710511880431
diffuse_low_error,top_spike:alpha=0.75,top_spike,1024,0.0,-0.4163721099494999
diffuse_low_error,top_spike:alpha=0.75,top_spike,2048,0.0,-0.2044154901063916
diffuse_low_error,top_spike:alpha=0.75,top_spike,4096,0.0,-0.06120680270056987
diffuse_low_error,top_spike:alpha=0.75,top_spike,8192,1.0,0.032403646675745745
diffuse_low_error,top_spike:alpha=0.75,top_spike,16384,1.0,0.0907374166767535
diffuse_low_error,top_spike:alpha=0.75,top_spike,32768,1.0,0.12513437959446866
diffuse_low_error,top_spike:alpha=0.75,top_spike,65536,1.0,0.14438474224684
diffuse_low_error,top_spike:alpha=0.75,top_spike,131072,1.0,0.1547460760922414
diffuse_low_error,top_spike:alpha=0.75,top_spike,262144,1.0,0.16019586937466346
diffuse_low_error,top_spike:alpha=0.75,top_spike,524288,1.0,0.1630327596387836
diffuse_low_error,top_spike:alpha=0.75,top_spike,1048576,1.0,0.1645038759808256
diffuse_low_error,top_spike:alpha=1,top_spike,32,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,64,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,128,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,256,0.0,-1.46875
diffuse_low_error,top_spike:alpha=1,top_spike,512,0.0,-0.9651614015840575
diffuse_low_error,top_spike:alpha=1,top_spike,1024,0.0,-0.5551628132659998
diffuse_low_error,top_spike:alpha=1,top_spike,2048,0.0,-0.27255398680852205
diffuse_low_error,top_spike:alpha=1,top_spike,4096,0.0,-0.08160907026742645
diffuse_low_error,top_spike:alpha=1,top_spike,8192,1.0,0.04320486223432772
diffuse_low_error,top_spike:alpha=1,top_spike,16384,1.0,0.1209832222356714
diffuse_low_error,top_spike:alpha=1,top_spike,32768,1.0,0.1668458394592916
diffuse_low_error,top_spike:alpha=1,top_spike,65536,1.0,0.19251298966245342
diffuse_low_error,top_spike:alpha=1,top_spike,131072,1.0,0.2063281014563219
diffuse_low_error,top_spike:alpha=1,top_spike,262144,1.0,0.21359449249955134
diffuse_low_error,top_spike:alpha=1,top_spike,524288,1.0,0.21737701285171152
diffuse_low_error,top_spike:alpha=1,top_spike,1048576,1.0,0.21933850130776755
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,32,0.0,-0.1659058286786502
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,64,0.0,-0.11012864499777082
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,128,0.0,-0.06777760147889034
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,256,0.0,-0.03158774160777269
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,512,0.0,-0.013368461139688367
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,1024,0.0,-0.004152155481617006
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,2048,0.9921875,0.0005439562450331245
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,4096,1.0,0.0029862340165227094
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,8192,1.0,0.006902364603033951
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,16384,1.0,0.009401416732115071
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,32768,1.0,0.010875002331193534
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,65536,1.0,0.011699698896684867
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,131072,1.0,0.01214358437513111
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,262144,1.0,0.012377056641800204
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,524288,1.0,0.01249859064610674
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,1048576,1.0,0.012561614113073518
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,32,0.0,-0.16768456890895087
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,64,0.0,-0.10496316551829163
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,128,0.0,-0.06145579448414211
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,256,0.0,-0.02829104691208771
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,512,0.0,-0.0038122675005811553
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,1024,1.0,0.008570434087889966
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,2048,1.0,0.015241599045419859
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,4096,1.0,0.022128513635012042
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,8192,1.0,0.0266381215668519
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,16384,1.0,0.02944830390913669
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,32768,1.0,0.031105349867556968
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,65536,1.0,0.03203272056907923
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,131072,1.0,0.03253186947398219
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,262144,1.0,0.03279440887184899
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,524288,1.0,0.03293107377327903
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,1048576,1.0,0.033001943617072454
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,32,0.0,-0.19992025957259035
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,64,0.0,-0.1150649319181768
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,128,0.0,-0.056204128031338
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,256,0.0,-0.015080908097454257
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,512,1.0,0.013699724369233675
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,1024,1.0,0.033728744366451326
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,2048,1.0,0.04754291411364435
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,4096,1.0,0.05687647075632473
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,8192,1.0,0.06297748632617407
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,16384,1.0,0.06677936145224525
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,32768,1.0,0.06902116680319366
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,65536,1.0,0.07027579983882012
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,131072,1.0,0.07095109473951094
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,262144,1.0,0.07130628236963174
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,524288,1.0,0.07149117531466796
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,1048576,1.0,0.07158705460771331
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,32,0.0,-0.3073563898707414
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,64,0.0,-0.16752416142133017
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,128,0.0,-0.07052804340101004
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,256,0.0,-0.0027615089555901268
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,512,1.0,0.04464590471247511
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,1024,1.0,0.07767141921205234
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,2048,1.0,0.10043564855773877
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,4096,1.0,0.1158163212954619
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,8192,1.0,0.1258701225890123
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,16384,1.0,0.13213519380917238
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,32768,1.0,0.13582944196822272
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,65536,1.0,0.13789693894345564
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,131072,1.0,0.13900975051857195
