policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
929,1;0;11;3;0,1/15,16/15,1/16,negative,86/45,1/430,negative,8/3,1/40,negative
930,1;0;12;0;2,2/15,6/5,1/9,negative,104/45,1/130,negative,3,2/45,negative
931,1;0;12;1;1,1/15,6/5,1/18,negative,34/15,1/510,negative,3,1/45,negative
936,1;1;0;0;13,23/15,4/3,23/20,positive,14/5,529/630,positive,10/3,23/50,positive
937,1;1;0;1;12,22/15,6/5,11/9,positive,34/15,242/255,positive,3,22/45,positive
938,1;1;0;2;11,7/5,16/15,21/16,positive,82/45,441/410,positive,8/3,21/40,positive
939,1;1;0;3;10,4/3,14/15,10/7,positive,22/15,40/33,positive,7/3,4/7,positive
940,1;1;0;4;9,19/15,14/15,19/14,positive,6/5,361/270,positive,2,19/30,positive
941,1;1;0;5;8,6/5,14/15,9/7,positive,46/45,162/115,positive,5/3,18/25,positive
942,1;1;0;6;7,17/15,14/15,17/14,positive,14/15,289/210,positive,4/3,17/20,positive
943,1;1;0;7;6,16/15,14/15,8/7,positive,14/15,128/105,positive,4/3,4/5,positive
944,1;1;0;8;5,1,14/15,15/14,positive,46/45,45/46,positive,5/3,3/5,positive
945,1;1;0;9;4,14/15,14/15,1,positive,6/5,98/135,positive,2,7/15,positive
946,1;1;0;10;3,13/15,14/15,13/14,positive,22/15,169/330,positive,7/3,13/35,positive
947,1;1;0;11;2,4/5,16/15,3/4,positive,82/45,72/205,positive,8/3,3/10,positive
948,1;1;0;12;1,11/15,6/5,11/18,positive,34/15,121/510,positive,3,11/45,negative
949,1;1;0;13;0,2/3,4/3,1/2,positive,14/5,10/63,positive,10/3,1/5,negative
950,1;1;1;0;12,7/5,6/5,7/6,positive,34/15,147/170,positive,3,7/15,positive
951,1;1;1;1;11,4/3,16/15,5/4,positive,16/9,1,positive,8/3,1/2,positive
952,1;1;1;2;10,19/15,14/15,19/14,positive,62/45,361/310,positive,7/3,19/35,positive
953,1;1;1;3;9,6/5,4/5,3/2,positive,16/15,27/20,positive,2,3/5,positive
954,1;1;1;4;8,17/15,4/5,17/12,positive,38/45,289/190,positive,5/3,17/25,positive
955,1;1;1;5;7,16/15,4/5,4/3,positive,32/45,8/5,positive,4/3,4/5,positive
956,1;1;1;6;6,1,4/5,5/4,positive,2/3,3/2,positive,1,1,positive
957,1;1;1;7;5,14/15,4/5,7/6,positive,32/45,49/40,positive,4/3,7/10,positive
958,1;1;1;8;4,13/15,4/5,13/12,positive,38/45,169/190,positive,5/3,13/25,positive
959,1;1;1;9;3,4/5,4/5,1,positive,16/15,3/5,positive,2,2/5,positive
960,1;1;1;10;2,11/15,14/15,11/14,positive,62/45,121/310,positive,7/3,11/35,positive
961,1;1;1;11;1,2/3,16/15,5/8,positive,16/9,1/4,positive,8/3,1/4,zero
962,1;1;1;12;0,3/5,6/5,1/2,positive,34/15,27/170,positive,3,1/5,negative
963,1;1;2;0;11,19/15,16/15,19/16,positive,82/45,361/410,positive,8/3,19/40,positive
964,1;1;2;1;10,6/5,14/15,9/7,positive,62/45,162/155,positive,7/3,18/35,positive
965,1;1;2;2;9,17/15,4/5,17/12,positive,46/45,289/230,positive,2,17/30,positive
966,1;1;2;3;8,16/15,2/3,8/5,positive,34/45,128/85,positive,5/3,16/25,positive
967,1;1;2;4;7,1,2/3,3/2,positive,26/45,45/26,positive,4/3,3/4,positive
968,1;1;2;5;6,14/15,2/3,7/5,positive,22/45,98/55,positive,1,14/15,positive
969,1;1;2;6;5,13/15,2/3,13/10,positive,22/45,169/110,positive,1,13/15,positive
970,1;1;2;7;4,4/5,2/3,6/5,positive,26/45,72/65,positive,4/3,3/5,positive
971,1;1;2;8;3,11/15,2/3,11/10,positive,34/45,121/170,positive,5/3,11/25,positive
972,1;1;2;9;2,2/3,4/5,5/6,positive,46/45,10/23,positive,2,1/3,positive
973,1;1;2;10;1,3/5,14/15,9/14,positive,62/45,81/310,positive,7/3,9/35,positive
974,1;1;2;11;0,8/15,16/15,1/2,positive,82/45,32/205,positive,8/3,1/5,negative
975,1;1;3;0;10,17/15,14/15,17/14,positive,22/15,289/330,positive,7/3,17/35,positive
976,1;1;3;1;9,16/15,4/5,4/3,positive,16/15,16/15,positive,2,8/15,positive
977,1;1;3;2;8,1,2/3,3/2,positive,34/45,45/34,positive,5/3,3/5,positive
978,1;1;3;3;7,14/15,8/15,7/4,positive,8/15,49/30,positive,4/3,7/10,positive
979,1;1;3;4;6,13/15,8/15,13/8,positive,2/5,169/90,positive,1,13/15,positive
980,1;1;3;5;5,4/5,8/15,3/2,positive,16/45,9/5,positive,2/3,6/5,positive
981,1;1;3;6;4,11/15,8/15,11/8,positive,2/5,121/90,positive,1,11/15,positive
982,1;1;3;7;3,2/3,8/15,5/4,positive,8/15,5/6,positive,4/3,1/2,positive
983,1;1;3;8;2,3/5,2/3,9/10,positive,34/45,81/170,positive,5/3,9/25,positive
984,1;1;3;9;1,8/15,4/5,2/3,positive,16/15,4/15,positive,2,4/15,positive
985,1;1;3;10;0,7/15,14/15,1/2,positive,22/15,49/330,positive,7/3,1/5,negative
986,1;1;4;0;9,1,14/15,15/14,positive,6/5,5/6,positive,2,1/2,positive
987,1;1;4;1;8,14/15,4/5,7/6,positive,38/45,98/95,positive,5/3,14/25,positive
988,1;1;4;2;7,13/15,2/3,13/10,positive,26/45,13/10,positive,4/3,13/20,positive
989,1;1;4;3;6,4/5,8/15,3/2,positive,2/5,8/5,positive,1,4/5,positive
990,1;1;4;4;5,11/15,8/15,11/8,positive,14/45,121/70,positive,2/3,11/10,positive
991,1;1;4;5;4,2/3,8/15,5/4,positive,14/45,10/7,positive,2/3,1,positive
992,1;1;4;6;3,3/5,8/15,9/8,positive,2/5,9/10,positive,1,3/5,positive
993,1;1;4;7;2,8/15,2/3,4/5,positive,26/45,32/65,positive,4/3,2/5,positive
994,1;1;4;8;1,7/15,4/5,7/12,positive,38/45,49/190,positive,5/3,7/25,positive
995,1;1;4;9;0,2/5,14/15,3/7,positive,6/5,2/15,positive,2,1/5,negative
996,1;1;5;0;8,13/15,14/15,13/14,positive,46/45,169/230,positive,5/3,13/25,positive
997,1;1;5;1;7,4/5,4/5,1,positive,32/45,9/10,positive,4/3,3/5,positive
998,1;1;5;2;6,11/15,2/3,11/10,positive,22/45,11/10,positive,1,11/15,positive
999,1;1;5;3;5,2/3,8/15,5/4,positive,16/45,5/4,positive,2/3,1,positive
1000,1;1;5;4;4,3/5,8/15,9/8,positive,14/45,81/70,positive,2/3,9/10,positive
1001,1;1;5;5;3,8/15,8/15,1,positive,16/45,4/5,positive,2/3,4/5,positive
1002,1;1;5;6;2,7/15,2/3,7/10,positive,22/45,49/110,positive,1,7/15,positive
1003,1;1;5;7;1,2/5,4/5,1/2,positive,32/45,9/40,positive,4/3,3/10,positive
1004,1;1;5;8;0,1/3,14/15,5/14,positive,46/45,5/46,positive,5/3,1/5,negative
1005,1;1;6;0;7,11/15,14/15,11/14,positive,14/15,121/210,positive,4/3,11/20,positive
1006,1;1;6;1;6,2/3,4/5,5/6,positive,2/3,2/3,positive,1,2/3,positive
1007,1;1;6;2;5,3/5,2/3,9/10,positive,22/45,81/110,positive,1,3/5,positive
1008,1;1;6;3;4,8/15,8/15,1,positive,2/5,32/45,positive,1,8/15,positive
1009,1;1;6;4;3,7/15,8/15,7/8,positive,2/5,49/90,positive,1,7/15,positive
1010,1;1;6;5;2,2/5,2/3,3/5,positive,22/45,18/55,positive,1,2/5,positive
1011,1;1;6;6;1,1/3,4/5,5/12,positive,2/3,1/6,positive,1,1/3,positive
1012,1;1;6;7;0,4/15,14/15,2/7,positive,14/15,8/105,positive,4/3,1/5,negative
1013,1;1;7;0;6,3/5,14/15,9/14,positive,14/15,27/70,positive,4/3,9/20,positive
1014,1;1;7;1;5,8/15,4/5,2/3,positive,32/45,2/5,positive,4/3,2/5,positive
1015,1;1;7;2;4,7/15,2/3,7/10,positive,26/45,49/130,positive,4/3,7/20,positive
1016,1;1;7;3;3,2/5,8/15,3/4,positive,8/15,3/10,positive,4/3,3/10,positive
1017,1;1;7;4;2,1/3,2/3,1/2,positive,26/45,5/26,positive,4/3,1/4,zero
1018,1;1;7;5;1,4/15,4/5,1/3,positive,32/45,1/10,positive,4/3,1/5,negative
1019,1;1;7;6;0,1/5,14/15,3/14,negative,14/15,3/70,negative,4/3,3/20,negative
1020,1;1;8;0;5,7/15,14/15,1/2,positive,46/45,49/230,positive,5/3,7/25,positive
1021,1;1;8;1;4,2/5,4/5,1/2,positive,38/45,18/95,positive,5/3,6/25,negative
1022,1;1;8;2;3,1/3,2/3,1/2,positive,34/45,5/34,positive,5/3,1/5,negative
1023,1;1;8;3;2,4/15,2/3,2/5,positive,34/45,8/85,positive,5/3,4/25,negative
1024,1;1;8;4;1,1/5,4/5,1/4,zero,38/45,9/190,negative,5/3,3/25,negative
1025,1;1;8;5;0,2/15,14/15,1/7,negative,46/45,2/115,negative,5/3,2/25,negative
1026,1;1;9;0;4,1/3,14/15,5/14,positive,6/5,5/54,positive,2,1/6,negative
1027,1;1;9;1;3,4/15,4/5,1/3,positive,16/15,1/15,positive,2,2/15,negative
1028,1;1;9;2;2,1/5,4/5,1/4,zero,46/45,9/230,negative,2,1/10,negative
1029,1;1;9;3;1,2/15,4/5,1/6,negative,16/15,1/60,negative,2,1/15,negative
1030,1;1;9;4;0,1/15,14/15,1/14,negative,6/5,1/270,negative,2,1/30,negative
1031,1;1;10;0;3,1/5,14/15,3/14,negative,22/15,3/110,negative,7/3,3/35,negative
1032,1;1;10;1;2,2/15,14/15,1/7,negative,62/45,2/155,negative,7/3,2/35,negative
1033,1;1;10;2;1,1/15,14/15,1/14,negative,62/45,1/310,negative,7/3,1/35,negative
1035,1;1;11;0;2,1/15,16/15,1/16,negative,82/45,1/410,negative,8/3,1/40,negative
1041,1;2;0;0;12,4/3,6/5,10/9,positive,104/45,10/13,positive,3,4/9,positive
1042,1;2;0;1;11,19/15,16/15,19/16,positive,82/45,361/410,positive,8/3,19/40,positive
1043,1;2;0;2;10,6/5,14/15,9/7,positive,64/45,81/80,positive,7/3,18/35,positive
1044,1;2;0;3;9,17/15,4/5,17/12,positive,10/9,289/250,positive,2,17/30,positive
